Generated by http://statistics.gov.scot,2022-08-01T11:46:37+00:00,
http://statistics.gov.scot/id/statistical-geography/S01012551,Muirhead - 03,12
http://statistics.gov.scot/id/statistical-geography/S01012552,Muirhead - 04,12
http://statistics.gov.scot/id/statistical-geography/S01012553,Muirhead - 05,15
http://statistics.gov.scot/id/statistical-geography/S01012554,Muirhead - 06,5
http://statistics.gov.scot/id/statistical-geography/S01012555,Muirhead - 07,7
http://statistics.gov.scot/id/statistical-geography/S01012556,Muirhead - 08,4
http://statistics.gov.scot/id/statistical-geography/S01011368,Muirhouse - 01,5
http://statistics.gov.scot/id/statistical-geography/S01008929,Muirhouse - 01,18
http://statistics.gov.scot/id/statistical-geography/S01011369,Muirhouse - 02,7
http://statistics.gov.scot/id/statistical-geography/S01008930,Muirhouse - 02,19
http://statistics.gov.scot/id/statistical-geography/S01011370,Muirhouse - 03,4
http://statistics.gov.scot/id/statistical-geography/S01008931,Muirhouse - 03,17
http://statistics.gov.scot/id/statistical-geography/S01008932,Muirhouse - 04,14
http://statistics.gov.scot/id/statistical-geography/S01011371,Muirhouse - 04,9
http://statistics.gov.scot/id/statistical-geography/S01008933,Muirhouse - 05,14
http://statistics.gov.scot/id/statistical-geography/S01011372,Muirhouse - 05,12
http://statistics.gov.scot/id/statistical-geography/S01008934,Muirhouse - 06,11
http://statistics.gov.scot/id/statistical-geography/S01011373,Muirhouse and Knowetop - 01,9
http://statistics.gov.scot/id/statistical-geography/S01011374,Muirhouse and Knowetop - 02,9
http://statistics.gov.scot/id/statistical-geography/S01011375,Muirhouse and Knowetop - 03,5
http://statistics.gov.scot/id/statistical-geography/S01011376,Muirhouse and Knowetop - 04,9
http://statistics.gov.scot/id/statistical-geography/S01011377,Muirhouse and Knowetop - 05,15
http://statistics.gov.scot/id/statistical-geography/S01011378,Muirhouse and Knowetop - 06,9
http://statistics.gov.scot/id/statistical-geography/S01011379,Muirhouse and Knowetop - 07,4
http://statistics.gov.scot/id/statistical-geography/S01011380,Muirhouse and Knowetop - 08,12
http://statistics.gov.scot/id/statistical-geography/S01011381,Muirhouse and Knowetop - 09,14
http://statistics.gov.scot/id/statistical-geography/S01011931,Muirton - 01,16
http://statistics.gov.scot/id/statistical-geography/S01011932,Muirton - 02,14
http://statistics.gov.scot/id/statistical-geography/S01011933,Muirton - 03,20
http://statistics.gov.scot/id/statistical-geography/S01011934,Muirton - 04,16
http://statistics.gov.scot/id/statistical-geography/S01007284,"Mull, Iona, Coll and Tiree - 01",1
http://statistics.gov.scot/id/statistical-geography/S01007285,"Mull, Iona, Coll and Tiree - 02",1
http://statistics.gov.scot/id/statistical-geography/S01007286,"Mull, Iona, Coll and Tiree - 03",12
http://statistics.gov.scot/id/statistical-geography/S01007287,"Mull, Iona, Coll and Tiree - 04",1
http://statistics.gov.scot/id/statistical-geography/S01007288,"Mull, Iona, Coll and Tiree - 05",1
http://statistics.gov.scot/id/statistical-geography/S01008459,Murrayburn and Wester Hailes North - 01,15
http://statistics.gov.scot/id/statistical-geography/S01008460,Murrayburn and Wester Hailes North - 02,11
http://statistics.gov.scot/id/statistical-geography/S01008461,Murrayburn and Wester Hailes North - 03,12
http://statistics.gov.scot/id/statistical-geography/S01008462,Murrayburn and Wester Hailes North - 04,10
http://statistics.gov.scot/id/statistical-geography/S01008463,Murrayburn and Wester Hailes North - 05,9
http://statistics.gov.scot/id/statistical-geography/S01008881,Murrayfield and Ravelston - 01,11
http://statistics.gov.scot/id/statistical-geography/S01008882,Murrayfield and Ravelston - 02,18
http://statistics.gov.scot/id/statistical-geography/S01008883,Murrayfield and Ravelston - 03,11
http://statistics.gov.scot/id/statistical-geography/S01008884,Murrayfield and Ravelston - 04,11
http://statistics.gov.scot/id/statistical-geography/S01008885,Murrayfield and Ravelston - 05,13
http://statistics.gov.scot/id/statistical-geography/S01008188,Musselburgh East - 01,16
http://statistics.gov.scot/id/statistical-geography/S01008189,Musselburgh East - 02,9
http://statistics.gov.scot/id/statistical-geography/S01008190,Musselburgh East - 03,4
http://statistics.gov.scot/id/statistical-geography/S01008191,Musselburgh East - 04,5
http://statistics.gov.scot/id/statistical-geography/S01008192,Musselburgh East - 05,11
http://statistics.gov.scot/id/statistical-geography/S01008193,Musselburgh East - 06,8
http://statistics.gov.scot/id/statistical-geography/S01008182,Musselburgh North - 01,12
http://statistics.gov.scot/id/statistical-geography/S01008183,Musselburgh North - 02,11
http://statistics.gov.scot/id/statistical-geography/S01008184,Musselburgh North - 03,16
http://statistics.gov.scot/id/statistical-geography/S01008185,Musselburgh North - 04,11
http://statistics.gov.scot/id/statistical-geography/S01008186,Musselburgh North - 05,14
http://statistics.gov.scot/id/statistical-geography/S01008187,Musselburgh North - 06,7
http://statistics.gov.scot/id/statistical-geography/S01008170,Musselburgh South - 01,5
http://statistics.gov.scot/id/statistical-geography/S01008171,Musselburgh South - 02,5
http://statistics.gov.scot/id/statistical-geography/S01008172,Musselburgh South - 03,4
http://statistics.gov.scot/id/statistical-geography/S01008173,Musselburgh South - 04,4
http://statistics.gov.scot/id/statistical-geography/S01008174,Musselburgh South - 05,4
http://statistics.gov.scot/id/statistical-geography/S01008175,Musselburgh South - 06,4
http://statistics.gov.scot/id/statistical-geography/S01008176,Musselburgh South - 07,9
http://statistics.gov.scot/id/statistical-geography/S01008177,Musselburgh West - 01,6
http://statistics.gov.scot/id/statistical-geography/S01008178,Musselburgh West - 02,6
http://statistics.gov.scot/id/statistical-geography/S01008179,Musselburgh West - 03,4
http://statistics.gov.scot/id/statistical-geography/S01008180,Musselburgh West - 04,5
http://statistics.gov.scot/id/statistical-geography/S01008181,Musselburgh West - 05,8
http://statistics.gov.scot/id/statistical-geography/S01011847,"Muthill, Greenloaning and Gleneagles - 01",1
http://statistics.gov.scot/id/statistical-geography/S01011848,"Muthill, Greenloaning and Gleneagles - 02",2
http://statistics.gov.scot/id/statistical-geography/S01011849,"Muthill, Greenloaning and Gleneagles - 03",14
http://statistics.gov.scot/id/statistical-geography/S01011850,"Muthill, Greenloaning and Gleneagles - 04",3
http://statistics.gov.scot/id/statistical-geography/S01011851,"Muthill, Greenloaning and Gleneagles - 05",5
http://statistics.gov.scot/id/statistical-geography/S01010554,Nairn East - 01,11
http://statistics.gov.scot/id/statistical-geography/S01010555,Nairn East - 02,19
http://statistics.gov.scot/id/statistical-geography/S01010556,Nairn East - 03,19
http://statistics.gov.scot/id/statistical-geography/S01010557,Nairn East - 04,3
http://statistics.gov.scot/id/statistical-geography/S01010558,Nairn East - 05,7
http://statistics.gov.scot/id/statistical-geography/S01010548,Nairn Rural - 01,2
http://statistics.gov.scot/id/statistical-geography/S01010549,Nairn Rural - 02,2
http://statistics.gov.scot/id/statistical-geography/S01010550,Nairn Rural - 03,7
http://statistics.gov.scot/id/statistical-geography/S01010551,Nairn Rural - 04,1
http://statistics.gov.scot/id/statistical-geography/S01010552,Nairn Rural - 05,1
http://statistics.gov.scot/id/statistical-geography/S01010553,Nairn Rural - 06,1
http://statistics.gov.scot/id/statistical-geography/S01010559,Nairn West - 01,11
http://statistics.gov.scot/id/statistical-geography/S01010560,Nairn West - 02,17
http://statistics.gov.scot/id/statistical-geography/S01010561,Nairn West - 03,7
http://statistics.gov.scot/id/statistical-geography/S01010562,Nairn West - 04,7
http://statistics.gov.scot/id/statistical-geography/S01010563,Nairn West - 05,14
http://statistics.gov.scot/id/statistical-geography/S01010564,Nairn West - 06,12
http://statistics.gov.scot/id/statistical-geography/S01010565,Nairn West - 07,9
http://statistics.gov.scot/id/statistical-geography/S01008295,Neilston and Uplawmoor - 01,14
http://statistics.gov.scot/id/statistical-geography/S01008296,Neilston and Uplawmoor - 02,20
http://statistics.gov.scot/id/statistical-geography/S01008297,Neilston and Uplawmoor - 03,18
http://statistics.gov.scot/id/statistical-geography/S01008298,Neilston and Uplawmoor - 04,7
http://statistics.gov.scot/id/statistical-geography/S01008299,Neilston and Uplawmoor - 05,20
http://statistics.gov.scot/id/statistical-geography/S01008300,Neilston and Uplawmoor - 06,19
http://statistics.gov.scot/id/statistical-geography/S01008301,Neilston and Uplawmoor - 07,9
http://statistics.gov.scot/id/statistical-geography/S01008302,Neilston and Uplawmoor - 08,2
http://statistics.gov.scot/id/statistical-geography/S01012894,Nerston and EK Landward Area - 01,6
http://statistics.gov.scot/id/statistical-geography/S01012895,Nerston and EK Landward Area - 02,2
http://statistics.gov.scot/id/statistical-geography/S01012896,Nerston and EK Landward Area - 03,6
http://statistics.gov.scot/id/statistical-geography/S01012897,Nerston and EK Landward Area - 04,2
http://statistics.gov.scot/id/statistical-geography/S01012898,Nerston and EK Landward Area - 05,3
http://statistics.gov.scot/id/statistical-geography/S01012899,Nerston and EK Landward Area - 06,6
http://statistics.gov.scot/id/statistical-geography/S01012900,Nerston and EK Landward Area - 07,3
http://statistics.gov.scot/id/statistical-geography/S01008389,Netherlee - 01,13
http://statistics.gov.scot/id/statistical-geography/S01008390,Netherlee - 02,10
http://statistics.gov.scot/id/statistical-geography/S01008391,Netherlee - 03,14
http://statistics.gov.scot/id/statistical-geography/S01008392,Netherlee - 04,16
http://statistics.gov.scot/id/statistical-geography/S01008393,Netherlee - 05,12
http://statistics.gov.scot/id/statistical-geography/S01008394,Netherlee - 06,12
http://statistics.gov.scot/id/statistical-geography/S01011363,Netherton and Kirkhill - 01,5
http://statistics.gov.scot/id/statistical-geography/S01011364,Netherton and Kirkhill - 02,5
http://statistics.gov.scot/id/statistical-geography/S01011365,Netherton and Kirkhill - 03,10
http://statistics.gov.scot/id/statistical-geography/S01011366,Netherton and Kirkhill - 04,8
http://statistics.gov.scot/id/statistical-geography/S01011367,Netherton and Kirkhill - 05,5
http://statistics.gov.scot/id/statistical-geography/S01007593,New Abbey - 01,5
http://statistics.gov.scot/id/statistical-geography/S01007594,New Abbey - 02,3
http://statistics.gov.scot/id/statistical-geography/S01007595,New Abbey - 03,2
http://statistics.gov.scot/id/statistical-geography/S01007596,New Abbey - 04,1
http://statistics.gov.scot/id/statistical-geography/S01007905,New Cumnock - 01,11
http://statistics.gov.scot/id/statistical-geography/S01007906,New Cumnock - 02,19
http://statistics.gov.scot/id/statistical-geography/S01007907,New Cumnock - 03,16
http://statistics.gov.scot/id/statistical-geography/S01007908,New Cumnock - 04,18
http://statistics.gov.scot/id/statistical-geography/S01011107,New Elgin East - 01,9
http://statistics.gov.scot/id/statistical-geography/S01011108,New Elgin East - 02,11
http://statistics.gov.scot/id/statistical-geography/S01011109,New Elgin East - 03,14
http://statistics.gov.scot/id/statistical-geography/S01011110,New Elgin East - 04,18
http://statistics.gov.scot/id/statistical-geography/S01011111,New Elgin East - 05,19
http://statistics.gov.scot/id/statistical-geography/S01011112,New Elgin West - 01,15
http://statistics.gov.scot/id/statistical-geography/S01011113,New Elgin West - 02,16
http://statistics.gov.scot/id/statistical-geography/S01011114,New Elgin West - 03,9
http://statistics.gov.scot/id/statistical-geography/S01011115,New Elgin West - 04,12
http://statistics.gov.scot/id/statistical-geography/S01011116,New Elgin West - 05,14
http://statistics.gov.scot/id/statistical-geography/S01007982,New Farm Loch South - 01,14
http://statistics.gov.scot/id/statistical-geography/S01007983,New Farm Loch South - 02,15
http://statistics.gov.scot/id/statistical-geography/S01007984,New Farm Loch South - 03,12
http://statistics.gov.scot/id/statistical-geography/S01007985,New Farm Loch South - 04,7
http://statistics.gov.scot/id/statistical-geography/S01009651,New Gilston and Upper Largo,1
http://statistics.gov.scot/id/statistical-geography/S01007046,New Pitsligo - 01,1
http://statistics.gov.scot/id/statistical-geography/S01007047,New Pitsligo - 02,1
http://statistics.gov.scot/id/statistical-geography/S01007048,New Pitsligo - 03,1
http://statistics.gov.scot/id/statistical-geography/S01007049,New Pitsligo - 04,13
http://statistics.gov.scot/id/statistical-geography/S01008845,New Town East and Gayfield - 01,20
http://statistics.gov.scot/id/statistical-geography/S01008846,New Town East and Gayfield - 02,18
http://statistics.gov.scot/id/statistical-geography/S01008847,New Town East and Gayfield - 03,18
http://statistics.gov.scot/id/statistical-geography/S01008848,New Town East and Gayfield - 04,17
http://statistics.gov.scot/id/statistical-geography/S01008849,New Town West - 01,16
http://statistics.gov.scot/id/statistical-geography/S01008850,New Town West - 02,19
http://statistics.gov.scot/id/statistical-geography/S01008851,New Town West - 03,20
http://statistics.gov.scot/id/statistical-geography/S01008852,New Town West - 04,16
http://statistics.gov.scot/id/statistical-geography/S01011452,Newarthill - 01,10
http://statistics.gov.scot/id/statistical-geography/S01011453,Newarthill - 02,15
http://statistics.gov.scot/id/statistical-geography/S01011454,Newarthill - 03,15
http://statistics.gov.scot/id/statistical-geography/S01011455,Newarthill - 04,19
http://statistics.gov.scot/id/statistical-geography/S01010985,Newbattle and Dalhousie - 01,13
http://statistics.gov.scot/id/statistical-geography/S01010986,Newbattle and Dalhousie - 02,4
http://statistics.gov.scot/id/statistical-geography/S01010987,Newbattle and Dalhousie - 03,4
http://statistics.gov.scot/id/statistical-geography/S01010988,Newbattle and Dalhousie - 04,5
http://statistics.gov.scot/id/statistical-geography/S01010989,Newbattle and Dalhousie - 05,5
http://statistics.gov.scot/id/statistical-geography/S01010990,Newbattle and Dalhousie - 06,6
http://statistics.gov.scot/id/statistical-geography/S01010991,Newbattle and Dalhousie - 07,5
http://statistics.gov.scot/id/statistical-geography/S01010992,Newbattle and Dalhousie - 08,2
http://statistics.gov.scot/id/statistical-geography/S01010993,Newbattle and Dalhousie - 09,3
http://statistics.gov.scot/id/statistical-geography/S01009679,Newburgh East,18
http://statistics.gov.scot/id/statistical-geography/S01009678,Newburgh North East and Braeside of Lindores,15
http://statistics.gov.scot/id/statistical-geography/S01009680,Newburgh West and Lochmill,5
http://statistics.gov.scot/id/statistical-geography/S01009551,Newcastle East,7
http://statistics.gov.scot/id/statistical-geography/S01009550,Newcastle West,9
http://statistics.gov.scot/id/statistical-geography/S01012354,Newcastleton,19
http://statistics.gov.scot/id/statistical-geography/S01008599,Newington and Dalkeith Road - 01,13
http://statistics.gov.scot/id/statistical-geography/S01008600,Newington and Dalkeith Road - 02,13
http://statistics.gov.scot/id/statistical-geography/S01008601,Newington and Dalkeith Road - 03,11
http://statistics.gov.scot/id/statistical-geography/S01008602,Newington and Dalkeith Road - 04,14
http://statistics.gov.scot/id/statistical-geography/S01008603,Newington and Dalkeith Road - 05,18
http://statistics.gov.scot/id/statistical-geography/S01009948,Newlands - 01,8
http://statistics.gov.scot/id/statistical-geography/S01009949,Newlands - 02,16
http://statistics.gov.scot/id/statistical-geography/S01009950,Newlands - 03,17
http://statistics.gov.scot/id/statistical-geography/S01009951,Newlands - 04,14
http://statistics.gov.scot/id/statistical-geography/S01009952,Newlands - 05,18
http://statistics.gov.scot/id/statistical-geography/S01009953,Newlands - 06,14
http://statistics.gov.scot/id/statistical-geography/S01009954,Newlands - 07,14
http://statistics.gov.scot/id/statistical-geography/S01009498,Newliston,8
http://statistics.gov.scot/id/statistical-geography/S01006946,Newmachar and Fintray - 01,2
http://statistics.gov.scot/id/statistical-geography/S01006947,Newmachar and Fintray - 02,3
http://statistics.gov.scot/id/statistical-geography/S01006948,Newmachar and Fintray - 03,2
http://statistics.gov.scot/id/statistical-geography/S01006949,Newmachar and Fintray - 04,1
http://statistics.gov.scot/id/statistical-geography/S01006950,Newmachar and Fintray - 05,1
http://statistics.gov.scot/id/statistical-geography/S01006951,Newmachar and Fintray - 06,3
http://statistics.gov.scot/id/statistical-geography/S01011417,Newmains - 01,16
http://statistics.gov.scot/id/statistical-geography/S01011418,Newmains - 02,9
http://statistics.gov.scot/id/statistical-geography/S01011419,Newmains - 03,6
http://statistics.gov.scot/id/statistical-geography/S01011420,Newmains - 04,4
http://statistics.gov.scot/id/statistical-geography/S01011421,Newmains - 05,4
http://statistics.gov.scot/id/statistical-geography/S01011422,Newmains - 06,6
http://statistics.gov.scot/id/statistical-geography/S01011423,Newmains - 07,11
http://statistics.gov.scot/id/statistical-geography/S01011424,Newmains - 08,6
http://statistics.gov.scot/id/statistical-geography/S01011425,Newmains - 09,6
http://statistics.gov.scot/id/statistical-geography/S01009279,Newmills,3
http://statistics.gov.scot/id/statistical-geography/S01007945,Newmilns - 01,5
http://statistics.gov.scot/id/statistical-geography/S01007946,Newmilns - 02,5
http://statistics.gov.scot/id/statistical-geography/S01007947,Newmilns - 03,11
http://statistics.gov.scot/id/statistical-geography/S01007948,Newmilns - 04,8
http://statistics.gov.scot/id/statistical-geography/S01009753,Newport Central,16
http://statistics.gov.scot/id/statistical-geography/S01009754,Newport East,18
http://statistics.gov.scot/id/statistical-geography/S01009755,Newport North East,13
http://statistics.gov.scot/id/statistical-geography/S01009752,Newport West,7
http://statistics.gov.scot/id/statistical-geography/S01012506,Newton North - 01,18
http://statistics.gov.scot/id/statistical-geography/S01012507,Newton North - 02,18
http://statistics.gov.scot/id/statistical-geography/S01012508,Newton North - 03,13
http://statistics.gov.scot/id/statistical-geography/S01012509,Newton North - 04,20
http://statistics.gov.scot/id/statistical-geography/S01012510,Newton North - 05,10
http://statistics.gov.scot/id/statistical-geography/S01012511,Newton North - 06,20
http://statistics.gov.scot/id/statistical-geography/S01007513,Newton Stewart - 01,14
http://statistics.gov.scot/id/statistical-geography/S01007514,Newton Stewart - 02,20
http://statistics.gov.scot/id/statistical-geography/S01007515,Newton Stewart - 03,16
http://statistics.gov.scot/id/statistical-geography/S01007516,Newton Stewart - 04,13
http://statistics.gov.scot/id/statistical-geography/S01007517,Newton Stewart - 05,11
http://statistics.gov.scot/id/statistical-geography/S01007518,Newton Stewart - 06,20
http://statistics.gov.scot/id/statistical-geography/S01007519,Newton Stewart - 07,1
http://statistics.gov.scot/id/statistical-geography/S01007520,Newton Stewart - 08,2
http://statistics.gov.scot/id/statistical-geography/S01011031,Newtongrange - 01,11
http://statistics.gov.scot/id/statistical-geography/S01011032,Newtongrange - 02,8
http://statistics.gov.scot/id/statistical-geography/S01011033,Newtongrange - 03,6
http://statistics.gov.scot/id/statistical-geography/S01011034,Newtongrange - 04,8
http://statistics.gov.scot/id/statistical-geography/S01011035,Newtongrange - 05,5
http://statistics.gov.scot/id/statistical-geography/S01011036,Newtongrange - 06,8
http://statistics.gov.scot/id/statistical-geography/S01006839,Newtonhill - 01,2
http://statistics.gov.scot/id/statistical-geography/S01006840,Newtonhill - 02,3
http://statistics.gov.scot/id/statistical-geography/S01006841,Newtonhill - 03,2
http://statistics.gov.scot/id/statistical-geography/S01012345,Newtown St Boswells - North,9
http://statistics.gov.scot/id/statistical-geography/S01012344,Newtown St Boswells - South,12
http://statistics.gov.scot/id/statistical-geography/S01008706,Niddrie - 01,16
http://statistics.gov.scot/id/statistical-geography/S01008707,Niddrie - 02,14
http://statistics.gov.scot/id/statistical-geography/S01008708,Niddrie - 03,12
http://statistics.gov.scot/id/statistical-geography/S01008709,Niddrie - 04,13
http://statistics.gov.scot/id/statistical-geography/S01008710,Niddrie - 05,10
http://statistics.gov.scot/id/statistical-geography/S01008711,Niddrie - 06,10
http://statistics.gov.scot/id/statistical-geography/S01009775,Nitshill - 01,15
http://statistics.gov.scot/id/statistical-geography/S01009776,Nitshill - 02,9
http://statistics.gov.scot/id/statistical-geography/S01009777,Nitshill - 03,12
http://statistics.gov.scot/id/statistical-geography/S01009778,Nitshill - 04,14
http://statistics.gov.scot/id/statistical-geography/S01009779,Nitshill - 05,15
http://statistics.gov.scot/id/statistical-geography/S01009780,Nitshill - 06,8
http://statistics.gov.scot/id/statistical-geography/S01009781,Nitshill - 07,14
http://statistics.gov.scot/id/statistical-geography/S01009782,Nitshill - 08,7
http://statistics.gov.scot/id/statistical-geography/S01009783,Nitshill - 09,8
http://statistics.gov.scot/id/statistical-geography/S01010118,North Barlanark and Easterhouse South - 01,9
http://statistics.gov.scot/id/statistical-geography/S01010119,North Barlanark and Easterhouse South - 02,4
http://statistics.gov.scot/id/statistical-geography/S01010120,North Barlanark and Easterhouse South - 03,8
http://statistics.gov.scot/id/statistical-geography/S01010121,North Barlanark and Easterhouse South - 04,9
http://statistics.gov.scot/id/statistical-geography/S01010122,North Barlanark and Easterhouse South - 05,16
http://statistics.gov.scot/id/statistical-geography/S01008268,North Berwick North - 01,6
http://statistics.gov.scot/id/statistical-geography/S01008269,North Berwick North - 02,6
http://statistics.gov.scot/id/statistical-geography/S01008270,North Berwick North - 03,12
http://statistics.gov.scot/id/statistical-geography/S01008271,North Berwick North - 04,20
http://statistics.gov.scot/id/statistical-geography/S01008272,North Berwick South - 01,3
http://statistics.gov.scot/id/statistical-geography/S01008273,North Berwick South - 02,18
http://statistics.gov.scot/id/statistical-geography/S01008274,North Berwick South - 03,17
http://statistics.gov.scot/id/statistical-geography/S01008275,North Berwick South - 04,12
http://statistics.gov.scot/id/statistical-geography/S01008276,North Berwick South - 05,7
http://statistics.gov.scot/id/statistical-geography/S01008058,North Castlehill and Thorn - 01,3
http://statistics.gov.scot/id/statistical-geography/S01008059,North Castlehill and Thorn - 02,7
http://statistics.gov.scot/id/statistical-geography/S01008060,North Castlehill and Thorn - 03,5
http://statistics.gov.scot/id/statistical-geography/S01008061,North Castlehill and Thorn - 04,4
http://statistics.gov.scot/id/statistical-geography/S01008062,North Castlehill and Thorn - 05,7
http://statistics.gov.scot/id/statistical-geography/S01008406,North Giffnock and North Thornliebank - 01,16
http://statistics.gov.scot/id/statistical-geography/S01008407,North Giffnock and North Thornliebank - 02,20
http://statistics.gov.scot/id/statistical-geography/S01008408,North Giffnock and North Thornliebank - 03,18
http://statistics.gov.scot/id/statistical-geography/S01008409,North Giffnock and North Thornliebank - 04,19
http://statistics.gov.scot/id/statistical-geography/S01008410,North Giffnock and North Thornliebank - 05,18
http://statistics.gov.scot/id/statistical-geography/S01011037,North Gorebridge - 01,11
http://statistics.gov.scot/id/statistical-geography/S01011038,North Gorebridge - 02,15
http://statistics.gov.scot/id/statistical-geography/S01011039,North Gorebridge - 03,13
http://statistics.gov.scot/id/statistical-geography/S01009736,North Haugh,7
http://statistics.gov.scot/id/statistical-geography/S01011935,North Inch - 01,19
http://statistics.gov.scot/id/statistical-geography/S01011936,North Inch - 02,18
http://statistics.gov.scot/id/statistical-geography/S01011937,North Inch - 03,19
http://statistics.gov.scot/id/statistical-geography/S01010369,North Kelvin - 01,14
http://statistics.gov.scot/id/statistical-geography/S01010370,North Kelvin - 02,13
http://statistics.gov.scot/id/statistical-geography/S01010371,North Kelvin - 03,16
http://statistics.gov.scot/id/statistical-geography/S01010372,North Kelvin - 04,13
http://statistics.gov.scot/id/statistical-geography/S01010373,North Kelvin - 05,16
http://statistics.gov.scot/id/statistical-geography/S01008362,North Kirkhill - 01,14
http://statistics.gov.scot/id/statistical-geography/S01008363,North Kirkhill - 02,18
http://statistics.gov.scot/id/statistical-geography/S01008364,North Kirkhill - 03,13
http://statistics.gov.scot/id/statistical-geography/S01008365,North Kirkhill - 04,8
http://statistics.gov.scot/id/statistical-geography/S01008772,North Leith and Newhaven - 01,19
http://statistics.gov.scot/id/statistical-geography/S01008773,North Leith and Newhaven - 02,18
http://statistics.gov.scot/id/statistical-geography/S01008774,North Leith and Newhaven - 03,19
http://statistics.gov.scot/id/statistical-geography/S01008775,North Leith and Newhaven - 04,19
http://statistics.gov.scot/id/statistical-geography/S01008776,North Leith and Newhaven - 05,19
http://statistics.gov.scot/id/statistical-geography/S01008777,North Leith and Newhaven - 06,18
http://statistics.gov.scot/id/statistical-geography/S01012410,North Mainland - 01,9
http://statistics.gov.scot/id/statistical-geography/S01012411,North Mainland - 02,1
http://statistics.gov.scot/id/statistical-geography/S01012412,North Mainland - 03,1
http://statistics.gov.scot/id/statistical-geography/S01011926,North Muirton and Old Scone - 01,9
http://statistics.gov.scot/id/statistical-geography/S01011927,North Muirton and Old Scone - 02,9
http://statistics.gov.scot/id/statistical-geography/S01011928,North Muirton and Old Scone - 03,6
http://statistics.gov.scot/id/statistical-geography/S01011929,North Muirton and Old Scone - 04,11
http://statistics.gov.scot/id/statistical-geography/S01011930,North Muirton and Old Scone - 05,8
http://statistics.gov.scot/id/statistical-geography/S01009384,North Queensferry,5
http://statistics.gov.scot/id/statistical-geography/S01009385,North Queensferry Ferryhills,7
http://statistics.gov.scot/id/statistical-geography/S01011050,North Speyside - 01,1
http://statistics.gov.scot/id/statistical-geography/S01011051,North Speyside - 02,4
http://statistics.gov.scot/id/statistical-geography/S01011052,North Speyside - 03,15
http://statistics.gov.scot/id/statistical-geography/S01011053,North Speyside - 04,10
http://statistics.gov.scot/id/statistical-geography/S01011054,North Speyside - 05,3
http://statistics.gov.scot/id/statistical-geography/S01012413,North and East Isles - 01,1
http://statistics.gov.scot/id/statistical-geography/S01012414,North and East Isles - 02,1
http://statistics.gov.scot/id/statistical-geography/S01012415,North and East Isles - 03,3
http://statistics.gov.scot/id/statistical-geography/S01012416,North and East Isles - 04,1
http://statistics.gov.scot/id/statistical-geography/S01007925,Northern and Irvine Valley Rural - 01,1
http://statistics.gov.scot/id/statistical-geography/S01007926,Northern and Irvine Valley Rural - 02,2
http://statistics.gov.scot/id/statistical-geography/S01007927,Northern and Irvine Valley Rural - 03,1
http://statistics.gov.scot/id/statistical-geography/S01007928,Northern and Irvine Valley Rural - 04,2
http://statistics.gov.scot/id/statistical-geography/S01007929,Northern and Irvine Valley Rural - 05,2
http://statistics.gov.scot/id/statistical-geography/S01007930,Northern and Irvine Valley Rural - 06,1
http://statistics.gov.scot/id/statistical-geography/S01007931,Northern and Irvine Valley Rural - 07,8
http://statistics.gov.scot/id/statistical-geography/S01006719,Northfield - 01,13
http://statistics.gov.scot/id/statistical-geography/S01006720,Northfield - 02,14
http://statistics.gov.scot/id/statistical-geography/S01006721,Northfield - 03,19
http://statistics.gov.scot/id/statistical-geography/S01006722,Northfield - 04,17
http://statistics.gov.scot/id/statistical-geography/S01006723,Northfield - 05,18
http://statistics.gov.scot/id/statistical-geography/S01006724,Northfield - 06,17
http://statistics.gov.scot/id/statistical-geography/S01006725,Northfield - 07,18
http://statistics.gov.scot/id/statistical-geography/S01008743,Northfield and Piershill - 01,13
http://statistics.gov.scot/id/statistical-geography/S01008744,Northfield and Piershill - 02,13
http://statistics.gov.scot/id/statistical-geography/S01008745,Northfield and Piershill - 03,15
http://statistics.gov.scot/id/statistical-geography/S01008746,Northfield and Piershill - 04,14
http://statistics.gov.scot/id/statistical-geography/S01009028,Northwest Lewis - 01,1
http://statistics.gov.scot/id/statistical-geography/S01009029,Northwest Lewis - 02,1
http://statistics.gov.scot/id/statistical-geography/S01009030,Northwest Lewis - 03,1
http://statistics.gov.scot/id/statistical-geography/S01009031,Northwest Lewis - 04,1
http://statistics.gov.scot/id/statistical-geography/S01009032,Northwest Lewis - 05,2
http://statistics.gov.scot/id/statistical-geography/S01009033,Northwest Lewis - 06,2
http://statistics.gov.scot/id/statistical-geography/S01007613,Nunholm - 01,11
http://statistics.gov.scot/id/statistical-geography/S01007614,Nunholm - 02,8
http://statistics.gov.scot/id/statistical-geography/S01007615,Nunholm - 03,13
http://statistics.gov.scot/id/statistical-geography/S01007616,Nunholm - 04,15
http://statistics.gov.scot/id/statistical-geography/S01009272,Oakley East,4
http://statistics.gov.scot/id/statistical-geography/S01009269,Oakley North,6
http://statistics.gov.scot/id/statistical-geography/S01007297,Oban North - 01,13
http://statistics.gov.scot/id/statistical-geography/S01007298,Oban North - 02,4
http://statistics.gov.scot/id/statistical-geography/S01007299,Oban North - 03,9
http://statistics.gov.scot/id/statistical-geography/S01007300,Oban North - 04,6
http://statistics.gov.scot/id/statistical-geography/S01007289,Oban South - 01,1
http://statistics.gov.scot/id/statistical-geography/S01007290,Oban South - 02,8
http://statistics.gov.scot/id/statistical-geography/S01007291,Oban South - 03,16
http://statistics.gov.scot/id/statistical-geography/S01007292,Oban South - 04,6
